This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"TRMU","TREMONTON",-112.1538,41.7229,1320,"AGRIMET","171872"
"VECU","VENICE",-112.0004,38.8235,1598,"AGRIMET","171873"
"TULN","TULSA",-95.9388,36.1967,209,"OKMESONET","171925"
"WAL2","WALTERS",-98.3457,34.3996,323,"OKMESONET","171926"
"128437","S BEND",-86.2486,41.7006,216,"COOP","172138"
"K24J","SUWANNEE COU",-83.0242,30.3003,31,"ASOS","172346"
"KHHG","HUNTINGTON M",-85.4569,40.8531,246,"ASOS","172347"
"KL18","FALLBROOK CO",-117.2508,33.3542,216,"ASOS","172348"
"KFGX","FLEMING-MASO",-83.7433,38.5419,278,"ASOS","172354"
"KPVE","BEECH RIVER",-88.1953,35.6564,149,"ASOS","172355"
"KMYZ","MARYSVILLE M",-96.6308,39.8564,391,"ASOS","172357"
"CYCK","CHATHAM-KENT",-82.0817,42.3061,-9999,"ASOS","172361"
"12M07S","PANGUITCH LA",-112.6504,37.7046,2545,"SNOTEL","172512"
"KMEV","MINDEN-TAHOE",-119.7519,39.0008,1439,"ASOS","172691"
"KSXS","FT RUCKER/SH",-85.8494,31.3628,122,"ASOS","172692"
"TAKU1","TAKKA WIIYA",-113.9831,39.7415,2794,"SNOTEL","173063"
"20H01S","STATE LINE",-120.7157,41.9861,1731,"SNOTEL","173065"
"19A09S","MUCKAMUCK",-119.8662,48.5853,1372,"SNOTEL","173066"
"K1A9","PRATTVILLE A",-86.5128,32.4386,69,"ASOS","173144"
"KLCQ","LAKE CITY GA",-82.5769,30.1819,61,"ASOS","173145"
"KRZT","ROSS COUNTY",-83.0231,39.4406,221,"ASOS","173146"
"DRPW","DEER PARK",-117.4335,47.9546,663,"AGRIMET","173166"
"SLWI","SILVERWOOD W",-116.7124,47.9011,712,"AGRIMET","173167"
"SC2057","AAMU-JTG",-86.5500,34.7833,262,"SCAN","173203"
"SC2092","ABRAMS",-97.0859,37.1313,364,"SCAN","173204"
"SC2015","ADAMS RANCH",-105.4167,34.2500,1882,"SCAN","173205"
"SC2172","ALCALDE",-106.0567,36.0908,1735,"SCAN","173206"
"SC2138","ALKALI MESA",-109.3644,37.6746,1966,"SCAN","173207"
"SC2076","ALLEN FARMS",-86.8938,35.0747,215,"SCAN","173208"
"SC2031","AMES",-93.7333,42.0167,327,"SCAN","173209"
"SC2032","BEASLEY LAKE",-90.6500,33.3833,35,"SCAN","173211"
"SC2207","BEAUMONT",-94.2928,30.0685,6,"SCAN","173212"
"SC2135","BLUE CREEK",-112.4338,41.9353,1582,"SCAN","173213"
"SC2078","BRAGG FARM",-86.6024,34.8938,243,"SCAN","173215"
"SC2177","BROAD ACRES",-86.0525,32.2839,82,"SCAN","173216"
"SC2151","BUFFALO JUMP",-111.1879,41.3436,2038,"SCAN","173217"
"SC2006","BUSHLAND #1",-102.1000,35.1667,1164,"SCAN","173218"
"SC2136","CACHE JUNCTI",-111.9804,41.8157,1351,"SCAN","173219"
"SC2161","CAVE VALLEY",-113.1234,37.3552,1918,"SCAN","173220"
"SC2094","CENTRALIA LA",-96.1629,39.7005,397,"SCAN","173221"
"SC2145","CHARKILN",-115.8339,36.3664,2048,"SCAN","173222"
"SC2150","CHICKEN RIDG",-111.3036,41.3314,2334,"SCAN","173223"
"SC2125","CIRCLEVILLE",-112.2512,38.1513,1865,"SCAN","173225"
"SC2189","COCHORA RANC",-119.5961,35.1181,822,"SCAN","173226"
"SC2117","CONRAD AG RC",-111.9236,48.3045,1130,"SCAN","173228"
"SC2198","COOK FARM FI",-117.0801,46.7837,831,"SCAN","173229"
"SC2197","CPER",-104.7107,40.8228,1625,"SCAN","173231"
"93D01S","CRESCENT LAK",-93.9500,45.4167,299,"SCAN","173232"
"SC2107","CROSSROADS",-103.2420,33.5351,1236,"SCAN","173233"
"SC2113","CULLMAN-NAHR",-86.7990,34.1949,244,"SCAN","173234"
"SC2190","DEATH VALLEY",-116.3513,36.3250,628,"SCAN","173235"
"SC2174","DEE RIVER RA",-88.3100,33.1077,49,"SCAN","173236"
"SC2187","DEEP SPRINGS",-117.9738,37.3722,1646,"SCAN","173237"
"SC2183","DESERT CENTE",-115.3051,33.8021,169,"SCAN","173238"
"SC2048","DEXTER",-89.9333,36.7833,93,"SCAN","173239"
"SC2191","DOE RIDGE",-118.8264,37.6342,2237,"SCAN","173240"
"SC2167","DUGWAY",-113.0200,40.1660,1316,"SCAN","173241"
"SC2192","EAGLE LAKE",-120.7247,40.6175,1565,"SCAN","173242"
"SC2130","EASTLAND",-109.1719,37.7785,2086,"SCAN","173243"
"SC2077","EASTVIEW FAR",-86.1911,35.1391,321,"SCAN","173244"
"SC2126","EPHRAIM",-111.5721,39.4240,1678,"SCAN","173247"
"SC2072","EROS DATA CE",-96.6146,43.7384,488,"SCAN","173248"
"SC2185","ESSEX",-115.1669,34.6724,806,"SCAN","173249"
"SC2051","EVERGLADES A",-80.5500,25.5000,3,"SCAN","173250"
"SC2184","FORD DRY LAK",-115.0976,33.6547,120,"SCAN","173251"
"SC2019","FORT ASSINIB",-109.8000,48.4833,826,"SCAN","173252"
"SC2022","FORT RENO #1",-98.0167,35.5500,427,"SCAN","173253"
"SC2011","GENEVA #1",-77.0333,42.8833,221,"SCAN","173255"
"SC2050","GLACIAL RIDG",-96.2667,47.7167,343,"SCAN","173256"
"SC2024","GOODWIN CK P",-89.8667,34.2500,98,"SCAN","173257"
"SC2025","GOODWIN CK T",-89.9000,34.2333,98,"SCAN","173258"
"SC2165","GOSHUTE",-114.0003,39.9900,1667,"SCAN","173259"
"SC2152","GRANTSVILLE",-112.3926,40.5909,1323,"SCAN","173260"
"SC2131","GREEN RIVER",-110.1626,39.0182,1252,"SCAN","173261"
"SC2160","GROUSE CREEK",-113.8201,41.7788,1782,"SCAN","173262"
"SC2164","HALS CANYON",-113.7507,38.5946,1600,"SCAN","173264"
"SC2166","HARMS WAY",-109.2401,38.3131,2149,"SCAN","173265"
"SC2127","HOLDEN",-112.4016,39.1922,1445,"SCAN","173269"
"SC2069","HUBBARD BROO",-71.7167,43.9333,451,"SCAN","173270"
"SC2111","JOHNSON FARM",-101.7201,40.3704,1018,"SCAN","173276"
"SC2121","JORDAN",-107.1273,47.5220,860,"SCAN","173277"
"SC2148","JORDAN VALLE",-117.0106,42.9486,1374,"SCAN","173278"
"SC2168","JORNADA EXP",-106.7000,32.5566,1329,"SCAN","173279"
"SC2194","JOURNAGAN RA",-92.2594,36.9973,337,"SCAN","173280"
"SC2206","KINGSVILLE",-97.8822,27.5495,20,"SCAN","173284"
"SC2201","KNOX CITY",-99.8666,33.4464,441,"SCAN","173285"
"SC2180","KOPTIS FARMS",-87.6980,30.5238,41,"SCAN","173286"
"SC2147","KU-NESA",-95.1913,39.0514,336,"SCAN","173287"
"SC2141","KYLE CANYON",-115.6085,36.2653,2137,"SCAN","173289"
"SC2106","LEHMAN",-102.7453,33.6265,1148,"SCAN","173290"
"SC2105","LEVELLAND",-102.3739,33.5513,1070,"SCAN","173291"
"SC2021","LIND #1",-118.5667,47.0000,500,"SCAN","173292"
"04B02S","LINDSAY",-105.1870,47.2142,875,"SCAN","173293"
"SC2155","LITTLE RED F",-110.3046,40.1796,1645,"SCAN","173294"
"SC2027","LITTLE RIVER",-83.5500,31.5000,107,"SCAN","173295"
"SC2114","LIVINGSTON-U",-88.1974,32.6080,44,"SCAN","173297"
"SC2169","LOS LUNAS PM",-106.7629,34.7715,1477,"SCAN","173298"
"SC2146","LOVELL SUMMI",-115.6120,36.1656,2010,"SCAN","173299"
"SC2116","LOVELOCK NNR",-118.1776,40.0333,1199,"SCAN","173300"
"SC2042","LYE BROOK",-73.0333,43.0500,742,"SCAN","173302"
"SC2028","MAHANTANGO C",-76.6667,40.6667,223,"SCAN","173304"
"SC2079","MAMMOTH CAVE",-86.0409,37.1864,244,"SCAN","173305"
"SC2020","MANDAN #1",-100.9167,46.7667,588,"SCAN","173307"
"SC2156","MANDERFIELD",-112.6429,38.3665,1882,"SCAN","173308"
"SC2149","MARBLE CREEK",-118.4209,37.7777,1885,"SCAN","173309"
"SC2043","MASCOMA RIVE",-72.0333,43.7833,427,"SCAN","173311"
"SC2004","MASON #1",-89.9000,40.3167,174,"SCAN","173312"
"SC2110","MAYDAY",-90.5199,32.8615,33,"SCAN","173314"
"SC2075","MCALISTER FA",-86.5914,35.0645,278,"SCAN","173315"
"SC2140","MCCRACKEN ME",-109.3377,37.4467,1621,"SCAN","173316"
"SC2129","MILFORD",-113.0105,38.3420,1523,"SCAN","173317"
"SC2119","MOCCASIN",-109.9508,47.0582,1297,"SCAN","173318"
"SC2014","MOLLY CAREN",-83.4500,39.9500,323,"SCAN","173319"
"SC2133","MORGAN",-111.6815,40.9986,1569,"SCAN","173321"
"SC2178","MORRIS FARMS",-85.9103,32.4122,67,"SCAN","173322"
"SC2041","MOUNT MANSFI",-72.8333,44.5333,682,"SCAN","173323"
"SC2134","MOUNTAIN HOM",-110.4071,40.3704,2118,"SCAN","173324"
"SC2060","MT VERNON",-93.8833,37.0667,351,"SCAN","173325"
"SC2039","N PIEDMONT A",-78.1167,38.2333,158,"SCAN","173326"
"SC2137","NEPHI",-111.8705,39.6455,1602,"SCAN","173329"
"SC2087","NORTH ISSAQU",-91.0599,32.9972,34,"SCAN","173332"
"SC2017","NUNN #1",-104.7333,40.8667,1798,"SCAN","173333"
"SC2033","ONWARD",-90.9333,32.7500,30,"SCAN","173334"
"16F07S","ORCHARD RANG",-115.9964,43.3227,975,"SCAN","173335"
"SC2157","PANGUITCH",-112.4346,37.8699,1998,"SCAN","173336"
"SC2153","PARK VALLEY",-113.2635,41.7737,1554,"SCAN","173337"
"SC2037","PEE DEE",-79.7333,34.3000,37,"SCAN","173338"
"SC2181","PERDIDO RIV",-87.5528,31.1092,91,"SCAN","173339"
"SC2046","PERTHSHIRE",-90.9000,33.9667,61,"SCAN","173340"
"SC2093","PHILLIPSBURG",-99.3295,39.7864,605,"SCAN","173341"
"SC2144","PINE NUT",-115.2042,36.5729,2063,"SCAN","173342"
"SC2049","POWDER MILL",-76.8500,39.0167,32,"SCAN","173344"
"SC2061","POWELL GARDE",-94.0333,38.8667,293,"SCAN","173345"
"SC2016","PRAIRIE VIEW",-95.9833,30.0833,82,"SCAN","173346"
"SC2132","PRICE",-110.8060,39.5329,1721,"SCAN","173347"
"SC2005","PRINCETON #1",-87.8333,37.1000,187,"SCAN","173348"
"SC2104","REESE CENTER",-102.0387,33.6154,1016,"SCAN","173350"
"SC2089","REYNOLDS HOM",-80.1333,36.6333,344,"SCAN","173351"
"SC2199","RIESEL",-96.8816,31.4791,164,"SCAN","173352"
"SC2182","RIVER ROAD F",-85.0369,31.0191,33,"SCAN","173353"
"SC2036","ROCK SPRINGS",-77.9333,40.7167,372,"SCAN","173354"
"SC2001","ROGERS FARM",-96.4667,40.8500,370,"SCAN","173355"
"SC2200","SAN ANGELO",-100.5075,31.5496,600,"SCAN","173356"
"SC2159","SAND HOLLOW",-113.3561,37.1047,969,"SCAN","173357"
"SC2109","SANDY RIDGE",-90.5730,33.6591,42,"SCAN","173358"
"SC2193","SCHELL-OSAGE",-94.0364,37.9872,242,"SCAN","173359"
"SC2070","SCOTT",-91.1000,33.6167,50,"SCAN","173361"
"SC2012","SELLERS LAKE",-81.6333,29.1000,23,"SCAN","173363"
"SC2176","SELMA",-86.8914,32.4039,43,"SCAN","173364"
"SC2171","SEVILLETA",-106.6913,34.3581,1595,"SCAN","173365"
"SC2186","SHADOW MTNS",-115.7151,35.4661,1110,"SCAN","173366"
"SC2068","SHAGBARK HIL",-95.7667,42.4333,427,"SCAN","173367"
"SC2088","SHENANDOAH",-79.2000,37.9167,537,"SCAN","173369"
"SC2120","SIDNEY",-104.2470,47.7710,693,"SCAN","173370"
"SC2086","SILVER CITY",-90.5115,33.0875,35,"SCAN","173371"
"SC2047","SPICKARD",-93.7167,40.2500,278,"SCAN","173373"
"SC2154","SPLIT MOUNTA",-109.3569,40.3804,1475,"SCAN","173374"
"SC2158","SPOOKY",-111.2618,37.5147,1627,"SCAN","173375"
"SC2056","STANLEY FARM",-86.6833,34.4333,194,"SCAN","173376"
"SC2064","STARKVILLE",-88.7667,33.6333,104,"SCAN","173377"
"SC2203","STEPHENVILLE",-98.1956,32.2454,400,"SCAN","173378"
"SC2179","SUDDUTH FARM",-87.4562,34.1797,235,"SCAN","173379"
"11D26S","TABLE MOUNTA",-111.5866,45.8027,1364,"SCAN","173381"
"SC2008","TIDEWATER #1",-76.6500,35.8667,6,"SCAN","173382"
"SC2082","TNC FORT BAY",-88.7416,30.4712,13,"SCAN","173384"
"SC2018","TORRINGTON #",-104.1333,42.0667,1305,"SCAN","173386"
"SC2142","TROUGH SPRIN",-115.7944,36.3735,2392,"SCAN","173387"
"SC2163","TULE VALLEY",-113.4587,39.2373,1397,"SCAN","173388"
"SC2034","TUNICA",-90.4167,34.6833,79,"SCAN","173389"
"SC2115","TUSKEGEE",-85.7480,32.4346,122,"SCAN","173390"
"SC2083","UAPB CAMPUS-",-92.0263,34.2519,71,"SCAN","173391"
"SC2091","UAPB DEWITT",-91.3502,34.2779,60,"SCAN","173392"
"SC2090","UAPB POINT R",-92.9246,35.2084,96,"SCAN","173393"
"SC2085","UAPB-EARLE",-90.4503,35.2773,65,"SCAN","173394"
"SC2030","UAPB-LONOKE",-91.8833,34.8500,76,"SCAN","173395"
"SC2084","UAPB-MARIANN",-90.8177,34.7849,66,"SCAN","173396"
"SC2204","UVALDE",-100.2528,29.3596,279,"SCAN","173398"
"SC2196","UW PLATTEVIL",-90.3899,42.7079,328,"SCAN","173399"
"SC2035","VANCE",-90.3500,34.0667,46,"SCAN","173400"
"SC2162","VERMILLION",-112.1925,37.1906,1945,"SCAN","173401"
"SC2202","VERNON",-99.2464,34.0164,361,"SCAN","173402"
"SC2118","VIOLETT",-111.1842,48.4358,983,"SCAN","173403"
"SC2003","WABENO #1",-88.5833,45.4667,482,"SCAN","173404"
"SC2009","WAKULLA #1",-84.4167,30.3000,46,"SCAN","173406"
"SC2026","WALNUT GULCH",-110.0500,31.7333,1372,"SCAN","173407"
"SC2013","WATKINSVILLE",-83.4333,33.8833,235,"SCAN","173409"
"SC2175","WEDOWEE",-85.5182,33.3317,285,"SCAN","173411"
"SC2205","WESLACO",-97.9593,26.1555,17,"SCAN","173412"
"SC2139","WEST SUMMIT",-109.1275,38.0140,2135,"SCAN","173413"
"SC2108","WILLOW WELLS",-103.6310,33.5338,1383,"SCAN","173414"
"SC2053","WTARS",-86.5333,34.9000,190,"SCAN","173415"
"SC2038","YOUMANS FARM",-81.2000,32.6667,23,"SCAN","173416"
"CKP01","CHEROKEE PAR",-105.2670,40.8263,1815,"COAGMET","173623"
"383145","FOUNTAIN INN",-82.2267,34.6747,253,"COOP","173703"
"K3N8","MAHNOMEN COU",-95.9281,47.2606,379,"ASOS","173869"
"KBDG","BLANDING MUN",-109.4833,37.5833,1789,"ASOS","173870"
"KEQA","EL DORADO/CA",-96.8178,37.7742,420,"ASOS","173871"
"KGKT","GATLINBURG-P",-83.5286,35.8578,309,"ASOS","173872"
"KGUR","CAMP GUERNSE",-104.7283,42.2597,1342,"ASOS","173873"
"KOKZ","KAOLIN FIELD",-82.8381,32.9667,134,"ASOS","173875"
"KPOY","POWELL MUNIC",-108.7933,44.8672,1553,"ASOS","173876"
"KPXE","PERRY-HOUSTO",-83.7672,32.5106,127,"ASOS","173877"
"KU68","NORTH BIG HO",-108.4456,44.9117,1248,"ASOS","173878"
"KY49","WALKER MUNIC",-94.6453,47.1594,411,"ASOS","173879"
"TALA","TALALA",-95.7452,36.5743,228,"OKMESONET","174134"
"K0V4","BROOKNEAL/CA",-79.0164,37.1417,182,"ASOS","174151"
"KASN","TALLADEGA MU",-86.0511,33.5694,161,"ASOS","174153"
"KBMC","BRIGHAM CITY",-112.0622,41.5544,1289,"ASOS","174154"
"KCLW","CLEARWATER A",-82.7592,27.9772,22,"ASOS","174155"
"KDTA","DELTA MUNICI",-112.5022,39.3836,1451,"ASOS","174156"
"KFKR","FRANKFORT MU",-86.5622,40.2733,262,"ASOS","174159"
"KFRR","FRONT ROYAL-",-78.2533,38.9175,215,"ASOS","174160"
"KHVE","HANKSVILLE A",-110.7042,38.4181,1355,"ASOS","174161"
"KLVL","LAWRENCEVILL",-77.7942,36.7728,100,"ASOS","174162"
"KN38","WELLSBORO JO",-77.3964,41.7278,577,"ASOS","174163"
"KOLG","SOLON SPRING",-91.8164,46.3147,336,"ASOS","174165"
"KW31","LUNENBURG CO",-78.1850,36.9603,160,"ASOS","174166"
"KW78","WILLIAM M TU",-78.8483,36.7094,128,"ASOS","174167"
"KW81","CREWE MUNICI",-78.0986,37.1811,128,"ASOS","174168"
"471287","CASHTON 3NNW",-90.7953,43.7861,286,"COOP","174383"
"KPBX","PIKE COUNTY",-82.5664,37.5619,448,"ASOS","174678"
"10M01S","LONESOME BEA",-110.7726,38.0799,2957,"SNOTEL","174728"
"15H07S","FRY CANYON",-115.9318,41.5787,2042,"SNOTEL","174729"
"21C44S","PINTO ROCK",-121.9424,46.3235,1353,"SNOTEL","174885"
"SC2195","CMRB LTAR-MO",-92.1194,39.2285,260,"SCAN","174958"
"SC2214","ASH VALLEY",-120.6872,41.0520,1554,"SCAN","174959"
"SC2215","BODIE HILLS",-119.1265,38.2648,2385,"SCAN","174960"
"SC2217","MONOCLINE RI",-120.5546,36.5442,267,"SCAN","174961"
"SC2218","FRENCH GULCH",-122.5508,40.7936,1146,"SCAN","174962"
"DWNI","DOWNEY",-112.1293,42.4336,1378,"AGRIMET","175053"
"MNPI","MONTPELIER",-111.3377,42.2545,1693,"AGRIMET","175054"
"PSTI","PRESTON",-111.8936,42.1072,1335,"AGRIMET","175055"
"SC2219","STUBBLEFIELD",-119.4783,34.9702,913,"SCAN","175083"
"18A19S","GOLD MOUNTAI",-118.4559,48.1893,1338,"SNOTEL","175148"
"084571","KEY W WFO",-81.7833,24.5500,2,"COOP","175523"
"211422","CELINA 2E",-93.0267,47.8664,392,"COOP","175545"
"218674","WARREN WSD",-96.7775,48.1953,261,"COOP","175546"
"275703","NASHUA CWSU",-71.4803,42.7347,55,"COOP","175549"
"309593","WYOMING 3W",-78.1481,42.8206,472,"COOP","175550"
"CDAI","COEUR D'ALEN",-116.7844,47.7180,684,"AGRIMET","175604"
"LIBW","LIBERTY LAKE",-117.0872,47.6653,655,"AGRIMET","175605"
"PSFI","POST FALLS",-116.9701,47.7137,653,"AGRIMET","175606"
"KS39","PRINEVILLE A",-120.9052,44.2878,991,"ASOS","175658"
"KW13","EAGLE'S NEST",-78.9444,38.0769,438,"ASOS","175659"
"CSDU","CASTLE DALE",-111.0700,39.2201,1798,"AGRIMET","175715"
"ELMU","ELMO",-110.8380,39.4213,1744,"AGRIMET","175716"
"FRNU","FERRON",-111.1543,39.0756,1830,"AGRIMET","175717"
"HNTU","HUNTINGTON",-110.9740,39.3079,1754,"AGRIMET","175718"
"PELU","PELICAN LAKE",-109.6667,40.1743,1467,"AGRIMET","175719"
"PLVU","PLEASANT VAL",-110.0947,40.1663,1612,"AGRIMET","175720"
"SPLI","SPIRIT LAKE",-116.8855,47.9875,730,"AGRIMET","175721"
"SC2216","BUCKHORN",-119.9535,40.8796,1976,"SCAN","175722"
"K7W4","LAKE ANN AIR",-77.7459,37.9658,107,"ASOS","176001"
"KAQX","ALLENDALE CO",-81.2703,32.9951,49,"ASOS","176002"
"KCXE","CHASE CITY M",-78.5016,36.7883,153,"ASOS","176004"
"KM91","SPRINGFIELD",-86.9212,36.5367,215,"ASOS","176005"
"KMHL","MARSHALL MEM",-93.2028,39.0955,237,"ASOS","176006"
"KRCV","ASTRONAUT KE",-106.3520,37.7138,2425,"ASOS","176007"
"KSCD","MERKEL FIELD",-86.3055,33.1718,173,"ASOS","176009"
"KW75","HUMMEL FIELD",-76.4467,37.6024,9,"ASOS","176010"
"KW96","NEW KENT COU",-77.1266,37.5034,37,"ASOS","176011"
"KFIN","FLAGLER COUN",-81.2087,29.4657,10,"ASOS","176252"
"KSY02","KERSEY 2",-104.4780,40.3629,1391,"COAGMET","176547"
"K1S5","SUNNYSIDE MU",-119.9704,46.3271,234,"ASOS","176583"
"KCFJ","CRAWFORDSVIL",-86.9199,39.9756,244,"ASOS","176585"
"GUN01","GUNNISON",-106.9010,38.6135,2406,"COAGMET","176637"
"MTR01","MONTROSE",-107.9140,38.5469,1722,"COAGMET","176638"
"CM002","FIVE POINTS",-120.1129,36.3362,87,"CIMIS","176664"
"CM006","DAVIS",-121.7764,38.5357,18,"CIMIS","176668"
"CM007","FIREBAUGH/TE",-120.5909,36.8512,56,"CIMIS","176669"
"CM012","DURHAM",-121.8244,39.6086,40,"CIMIS","176674"
"CM015","STRATFORD",-119.8514,36.1580,59,"CIMIS","176677"
"CM035","BISHOP",-118.4055,37.3585,1271,"CIMIS","176697"
"CM039","PARLIER",-119.5040,36.5974,103,"CIMIS","176701"
"CM041","CALIPATRIA",-115.4158,33.0430,-34,"CIMIS","176703"
"CM043","MCARTHUR",-121.4560,41.0638,1009,"CIMIS","176705"
"CM044","RIVERSIDE",-117.3370,33.9649,311,"CIMIS","176706"
"CM047","BRENTWOOD",-121.6597,37.9282,14,"CIMIS","176709"
"CM052","SAN LUIS OBI",-120.6618,35.3054,101,"CIMIS","176714"
"CM064","SANTA YNEZ",-120.0792,34.5831,149,"CIMIS","176726"
"CM068","SEELEY",-115.7321,32.7596,12,"CIMIS","176730"
"CM070","MANTECA",-121.2232,37.8348,10,"CIMIS","176732"
"CM071","MODESTO",-121.1878,37.6452,11,"CIMIS","176733"
"CM075","IRVINE",-117.7212,33.6885,125,"CIMIS","176737"
"CM077","OAKVILLE",-122.4102,38.4285,58,"CIMIS","176739"
"CM078","POMONA",-117.8131,34.0566,223,"CIMIS","176740"
"CM083","SANTA ROSA",-122.7999,38.4036,24,"CIMIS","176745"
"CM084","BROWNS VALLE",-121.3157,39.2526,287,"CIMIS","176746"
"CM087","MELOLAND",-115.4463,32.8062,-15,"CIMIS","176749"
"CM088","CUYAMA",-119.6738,34.9425,698,"CIMIS","176750"
"CM090","ALTURAS",-120.4803,41.4382,1343,"CIMIS","176752"
"CM091","TULELAKE FS",-121.4724,41.9589,1230,"CIMIS","176753"
"CM099","SANTA MONICA",-118.4769,34.0443,104,"CIMIS","176761"
"CM103","WINDSOR",-122.8293,38.5263,26,"CIMIS","176765"
"CM104","DE LAVEAGA",-121.9968,36.9974,91,"CIMIS","176766"
"CM105","WESTLANDS",-120.3818,36.6340,58,"CIMIS","176767"
"CM106","SANEL VALLEY",-123.0893,38.9826,160,"CIMIS","176768"
"CM107","SANTA BARBAR",-119.7374,34.4374,76,"CIMIS","176769"
"CM113","KING CITY-OA",-121.0846,36.1211,165,"CIMIS","176775"
"CM114","ARROYO SECO",-121.2914,36.3473,72,"CIMIS","176776"
"CM116","SALINAS NORT",-121.6919,36.7168,19,"CIMIS","176778"
"CM117","VICTORVILLE",-117.2635,34.4759,881,"CIMIS","176779"
"CM124","PANOCHE",-120.7314,36.8901,56,"CIMIS","176786"
"CM125","ARVIN-EDISON",-118.7784,35.2056,152,"CIMIS","176787"
"CM126","SAN BENITO",-121.3628,36.8548,104,"CIMIS","176788"
"CM129","PAJARO",-121.7419,36.9028,20,"CIMIS","176791"
"CM131","FAIR OAKS",-121.2189,38.6500,81,"CIMIS","176793"
"CM135","BLYTHE NE",-114.5581,33.6629,84,"CIMIS","176797"
"CM136","OASIS",-116.1558,33.5237,4,"CIMIS","176798"
"CM140","TWITCHELL IS",-121.6592,38.1161,0,"CIMIS","176802"
"CM143","SAN JUAN VAL",-121.4679,36.8229,75,"CIMIS","176805"
"CM144","PETALUMA",-122.6165,38.2664,30,"CIMIS","176806"
"CM146","BELRIDGE",-119.6911,35.5058,125,"CIMIS","176808"
"CM147","OTAY LAKE",-116.9393,32.6282,177,"CIMIS","176809"
"CM150","MIRAMAR",-117.1431,32.8858,136,"CIMIS","176812"
"CM151","RIPLEY",-114.6339,33.5322,77,"CIMIS","176813"
"CM152","CAMARILLO",-118.9924,34.2194,40,"CIMIS","176814"
"CM153","ESCONDIDO SP",-116.9757,33.0811,119,"CIMIS","176815"
"CM157","POINT SAN PE",-122.4677,37.9955,2,"CIMIS","176819"
"CM158","BENNETT VALL",-122.6587,38.4194,82,"CIMIS","176820"
"CM159","MONROVIA",-117.9858,34.1464,181,"CIMIS","176821"
"CM160","SAN LUIS OBI",-120.7359,35.3353,87,"CIMIS","176822"
"CM165","SISQUOC",-120.2127,34.8419,163,"CIMIS","176827"
"CM170","CONCORD",-122.0203,38.0154,11,"CIMIS","176832"
"CM171","UNION CITY",-122.0532,37.5988,5,"CIMIS","176833"
"CM173","TORREY PINES",-117.2505,32.9019,102,"CIMIS","176835"
"CM174","LONG BEACH",-118.0948,33.7987,5,"CIMIS","176836"
"CM175","PALO VERDE I",-114.7192,33.3837,70,"CIMIS","176837"
"CM178","MORAGA",-122.1407,37.8376,155,"CIMIS","176840"
"CM179","WINCHESTER",-117.0934,33.6633,496,"CIMIS","176841"
"CM181","WESTMORLAND",-115.6606,33.0786,-61,"CIMIS","176843"
"CM182","DELANO",-119.2560,35.8330,91,"CIMIS","176844"
"CM183","OWENS LAKE N",-117.9194,36.4886,1123,"CIMIS","176845"
"CM184","SAN DIEGO II",-117.1393,32.7296,115,"CIMIS","176846"
"CM187","BLACK POINT",-122.5267,38.0909,0,"CIMIS","176849"
"CM189","OWENS LAKE S",-117.9439,36.3586,1122,"CIMIS","176851"
"CM191","PLEASANTON",-121.8850,37.6640,102,"CIMIS","176853"
"CM192","LAKE ARROWHE",-117.2181,34.2551,1569,"CIMIS","176854"
"CM194","OAKDALE",-120.8509,37.7272,50,"CIMIS","176856"
"CM197","PALMDALE",-118.0325,34.6150,777,"CIMIS","176859"
"CM199","BIG BEAR LAK",-116.8657,34.2374,2106,"CIMIS","176861"
"CM200","INDIO II",-116.2529,33.7486,12,"CIMIS","176862"
"CM204","SANTA CLARIT",-118.5176,34.4264,430,"CIMIS","176866"
"CM205","COALINGA",-120.3603,36.1758,223,"CIMIS","176867"
"CM206","DENAIR II",-120.7545,37.5459,46,"CIMIS","176868"
"CM207","BORREGO SPRI",-116.3651,33.2684,176,"CIMIS","176869"
"CM209","WATSONVILLE",-121.8234,36.9133,73,"CIMIS","176871"
"CM210","CARMEL",-121.8820,36.5409,23,"CIMIS","176872"
"CM211","GILROY",-121.5370,37.0150,56,"CIMIS","176873"
"CM212","HASTINGS TRA",-121.7411,38.2781,2,"CIMIS","176874"
"CM214","SALINAS SOUT",-121.5379,36.6256,47,"CIMIS","176876"
"CM215","CHATSWORTH",-118.5700,34.2913,468,"CIMIS","176877"
"CM216","ARLETA",-118.3829,34.2562,299,"CIMIS","176878"
"CM217","MOORPARK",-118.8493,34.2690,219,"CIMIS","176879"
"CM218","THERMAL SOUT",-116.1588,33.5957,-10,"CIMIS","176880"
"CM220","PALMDALE CEN",-118.1275,34.5922,802,"CIMIS","176882"
"CM221","CADIZ VALLEY",-115.5106,34.5136,47,"CIMIS","176883"
"CM222","GERBER SOUTH",-122.1558,40.0288,75,"CIMIS","176884"
"CM224","SHASTA COLLE",-122.3109,40.6255,180,"CIMIS","176886"
"CM226","WOODLAND",-121.8117,38.6727,25,"CIMIS","176887"
"CM227","PLYMOUTH",-120.7997,38.5083,463,"CIMIS","176888"
"CM228","DIAMOND SPRI",-120.7931,38.6361,625,"CIMIS","176889"
"CM229","LAGUNA SECA",-121.7864,36.5700,98,"CIMIS","176890"
